age,rr,tenure,gender
5.1,3.5,1.4,male
4.9,3,1.4,male
4.7,3.2,1.3,male
4.6,3.1,1.5,male
5,3.6,1.4,male
5.4,3.9,1.7,male
4.6,3.4,1.4,male
5,3.4,1.5,male
4.4,2.9,1.4,male
4.9,3.1,1.5,male
5.4,3.7,1.5,male
4.8,3.4,1.6,male
4.8,3,1.4,male
4.3,3,1.1,male
5.8,4,1.2,male
5.7,4.4,1.5,male
5.4,3.9,1.3,male
5.1,3.5,1.4,male
5.7,3.8,1.7,male
5.1,3.8,1.5,male
5.4,3.4,1.7,male
5.1,3.7,1.5,male
4.6,3.6,1,male
5.1,3.3,1.7,male
4.8,3.4,1.9,male
5,3,1.6,male
5,3.4,1.6,male
5.2,3.5,1.5,male
5.2,3.4,1.4,male
4.7,3.2,1.6,male
4.8,3.1,1.6,male
5.4,3.4,1.5,male
5.2,4.1,1.5,male
5.5,4.2,1.4,male
4.9,3.1,1.5,male
5,3.2,1.2,male
5.5,3.5,1.3,male
4.9,3.6,1.4,male
4.4,3,1.3,male
5.1,3.4,1.5,male
5,3.5,1.3,male
4.5,2.3,1.3,male
4.4,3.2,1.3,male
5,3.5,1.6,male
5.1,3.8,1.9,male
4.8,3,1.4,male
5.1,3.8,1.6,male
4.6,3.2,1.4,male
5.3,3.7,1.5,male
5,3.3,1.4,male
7,3.2,4.7,male
6.4,3.2,4.5,male
6.9,3.1,4.9,male
5.5,2.3,4,male
6.5,2.8,4.6,female
5.7,2.8,4.5,female
6.3,3.3,4.7,female
4.9,2.4,3.3,female
6.6,2.9,4.6,female
5.2,2.7,3.9,female
5,2,3.5,female
5.9,3,4.2,female
6,2.2,4,female
6.1,2.9,4.7,female
5.6,2.9,3.6,female
6.7,3.1,4.4,female
5.6,3,4.5,female
5.8,2.7,4.1,female
6.2,2.2,4.5,female
5.6,2.5,3.9,female
5.9,3.2,4.8,female
6.1,2.8,4,female
6.3,2.5,4.9,female
6.1,2.8,4.7,female
6.4,2.9,4.3,female
6.6,3,4.4,female
6.8,2.8,4.8,female
6.7,3,5,female
6,2.9,4.5,female
5.7,2.6,3.5,female
5.5,2.4,3.8,female
5.5,2.4,3.7,female
5.8,2.7,3.9,female
6,2.7,5.1,female
5.4,3,4.5,female
6,3.4,4.5,female
6.7,3.1,4.7,female
6.3,2.3,4.4,female
5.6,3,4.1,female
5.5,2.5,4,female
5.5,2.6,4.4,female
6.1,3,4.6,female
5.8,2.6,4,female
5,2.3,3.3,female
5.6,2.7,4.2,female
5.7,3,4.2,female
5.7,2.9,4.2,female
6.2,2.9,4.3,female
5.1,2.5,3,female
5.7,2.8,4.1,female
6.3,3.3,6,female
5.8,2.7,5.1,female
7.1,3,5.9,female
6.3,2.9,5.6,female
6.5,3,5.8,female
7.6,3,6.6,female
4.9,2.5,4.5,female
7.3,2.9,6.3,female
6.7,2.5,5.8,female
7.2,3.6,6.1,female
6.5,3.2,5.1,female
6.4,2.7,5.3,female
6.8,3,5.5,female
5.7,2.5,5,female
5.8,2.8,5.1,female
6.4,3.2,5.3,female
6.5,3,5.5,female
7.7,3.8,6.7,female
7.7,2.6,6.9,female
6,2.2,5,female
6.9,3.2,5.7,female
5.6,2.8,4.9,female
7.7,2.8,6.7,female
6.3,2.7,4.9,female
6.7,3.3,5.7,female
7.2,3.2,6,female
6.2,2.8,4.8,female
6.1,3,4.9,female
6.4,2.8,5.6,female
7.2,3,5.8,female
7.4,2.8,6.1,female
7.9,3.8,6.4,female
6.4,2.8,5.6,female
6.3,2.8,5.1,female
6.1,2.6,5.6,female
7.7,3,6.1,female
6.3,3.4,5.6,unknown
6.4,3.1,5.5,unknown
6,3,4.8,unknown
6.9,3.1,5.4,unknown
6.7,3.1,5.6,unknown
6.9,3.1,5.1,unknown
5.8,2.7,5.1,unknown
6.8,3.2,5.9,unknown
6.7,3.3,5.7,unknown
6.7,3,5.2,unknown
6.3,2.5,5,unknown
6.5,3,5.2,unknown
6.2,3.4,5.4,unknown
5.9,3,5.1,unknown
